部门,表中文名,表英文名,部门到前置机状态,异常原因说明,前置机到前置仓状态,异常原因说明,前置仓到贴源层状态,异常原因说明,,部门,表中文名,（前置仓）表英文名,部门到前置机对账状态,异常原因说明,前置仓数据量核对（数据表和对账表是否一致）【暂无更新、不具备采集条件、正常、异常、无法匹配】,异常原因说明,前置仓到贴源层调度状态,异常原因说明
人力资源社会保障厅,人员核定信息(城乡养老),scsb_resident04_ac43_170,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,单位征缴明细,einp_collection01_ab07、einp_collection02_ab07、einp_collection03_ab07、einp_collection04_ab07,未推送,,未推送,,未推送,
人力资源社会保障厅,人员核定明细,scsb_scgioi_ac44,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,单位征缴明细,einp_collection01_ab07、einp_collection02_ab07、einp_collection03_ab07、einp_collection04_ab07,未推送,,未推送,,未推送,
人力资源社会保障厅,人员死亡登记事件,scsb_zyshhx_ac26,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,单位征缴明细,einp_collection01_ab07、einp_collection02_ab07、einp_collection03_ab07、einp_collection04_ab07,未推送,,未推送,,未推送,
人力资源社会保障厅,人员特殊工作经历信息,einp_treatment01_ac19,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职个人账户,einp_collection01_ac50、einp_collection02_ac50、einp_collection03_ac50、einp_collection04_ac50,未推送,,未推送,,未推送,
人力资源社会保障厅,人员特殊工作经历信息,einp_treatment02_ac19,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职个人账户,einp_collection01_ac50、einp_collection02_ac50、einp_collection03_ac50、einp_collection04_ac50,未推送,,未推送,,未推送,
人力资源社会保障厅,人员特殊工作经历信息,einp_treatment03_ac19,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职个人账户,einp_collection01_ac50、einp_collection02_ac50、einp_collection03_ac50、einp_collection04_ac50,未推送,,未推送,,未推送,
人力资源社会保障厅,人员特殊工作经历信息,einp_treatment04_ac19,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职个人账户,einp_collection01_ac50、einp_collection02_ac50、einp_collection03_ac50、einp_collection04_ac50,未推送,,未推送,,未推送,
人力资源社会保障厅,人员社会保险参保关系明细,scsb_reportqb_ac20,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职人员账户年度台账,einp_collection01_ac51、einp_collection02_ac51、einp_collection03_ac51、einp_collection04_ac51,未推送,,未推送,,未推送,
人力资源社会保障厅,人员缴费明细,scsb_sczd01_zc43,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职人员账户年度台账,einp_collection01_ac51、einp_collection02_ac51、einp_collection03_ac51、einp_collection04_ac51,未推送,,未推送,,未推送,
人力资源社会保障厅,人员缴费明细,scsb_sczd02_zc43,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职人员账户年度台账,einp_collection01_ac51、einp_collection02_ac51、einp_collection03_ac51、einp_collection04_ac51,未推送,,未推送,,未推送,
人力资源社会保障厅,人员缴费明细,scsb_sczd03_zc43,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,在职人员账户年度台账,einp_collection01_ac51、einp_collection02_ac51、einp_collection03_ac51、einp_collection04_ac51,未推送,,未推送,,未推送,
人力资源社会保障厅,人员缴费明细,scsb_sczd04_zc43,正常,已经到前置机，未对账,未推送,,未推送,,,人力资源社会保障厅,养老离退休人员,einp_treatment01_ic10、einp_treatment02_ic10、einp_treatment03_ic10、einp_treatment04_ic10,未推送,,未推送,,未推送,
